type,dataset_name,best_params,duration,mse_score,rmse_score,mae_score,smape_score,mape_score,r2_score
BGRU,kagglehub_sumit261124,"{'gru_units': 114, 'dropout_rate': 0.24227495730025134, 'num_gru_layers': 2, 'learning_rate': 0.0007573057456039682}",300.409151,39.13,6.26,4.92,3.9,4.01,0.8887
CNN,kagglehub_sumit261124,"{'filters': 91, 'kernel_size': 5, 'dropout_rate': 0.2000026839409027, 'num_conv_layers': 2, 'optimizer': 'rmsprop', 'l2_reg': 0.00026788058284206933}",17.209029,25.17,5.02,3.86,3.06,3.08,0.9284
TCN,kagglehub_sumit261124,"{'filters': 39, 'kernel_size': 3, 'dropout_rate': 0.259557077782764, 'num_tcn_blocks': 5, 'dilation_base': 2, 'l2_reg': 2.0635774031197876e-05, 'optimizer': 'rmsprop'}",58.9851,10.54,3.25,2.46,1.93,1.95,0.97
DCNN,kagglehub_sumit261124,"{'filters': 111, 'kernel_size': 4, 'dilation_rate': 2, 'dropout_rate': 0.25777174602915165, 'num_conv_layers': 1, 'optimizer': 'rmsprop', 'l2_reg': 4.063240839151077e-06}",22.807036,24.25,4.92,3.91,3.19,3.12,0.931
WaveNet,kagglehub_sumit261124,"{'filters': 41, 'kernel_size': 4, 'dilation_rate': 2, 'num_wavenet_blocks': 3, 'dropout_rate': 0.1510354279360089, 'l2_reg': 4.408847652113036e-05, 'optimizer': 'rmsprop'}",78.469124,8.56,2.93,2.27,1.82,1.82,0.9757
TFT,kagglehub_sumit261124,"{'hidden_units': 255, 'dropout_rate': 0.17043424790219946, 'num_lstm_layers': 1, 'num_heads': 6, 'num_attention_blocks': 3, 'l2_reg': 0.00017138196175720016, 'learning_rate': 0.00010586328667163498, 'optimizer': 'rmsprop'}",1479.358698,86.58,9.3,7.31,5.8,6.05,0.7537
TST,kagglehub_sumit261124,"{'d_model': 88, 'num_heads': 8, 'num_transformer_layers': 5, 'ff_dim': 291, 'dropout_rate': 0.3000825729064822, 'learning_rate': 0.00022238230973670785, 'optimizer': 'rmsprop'}",2023.380415,348.37,18.66,14.82,11.35,12.44,0.0091
LSTM_RandomForest,house1.csv,"{'n_estimators': 28, 'max_depth': 9, 'min_samples_split': 7, 'min_samples_leaf': 5}",254.757655,21.98731703425155,4.689063556217974,1.1312548147868338,14.899166709744565,16.287826491035688,0.2386694837772384
GRU_RandomForest,house1.csv,"{'n_estimators': 90, 'max_depth': 13, 'min_samples_split': 4, 'min_samples_leaf': 10}",1034.27099,20.799545226526643,4.560651842283803,1.1179491700090365,14.886770059239636,16.684500057282012,0.2797971448793802
BLSTM_RandomForest,house1.csv,"{'n_estimators': 21, 'max_depth': 16, 'min_samples_split': 3, 'min_samples_leaf': 2}",351.295706,21.483701879284634,4.635051443003047,1.277378444013429,18.4013297247162,20.99828978437701,0.2561076089159847
BGRU_RandomForest,house1.csv,"{'n_estimators': 89, 'max_depth': 19, 'min_samples_split': 6, 'min_samples_leaf': 1}",1674.018485,20.78977785720729,4.559580886134963,1.128105806743421,15.152458964574192,17.171061527334537,0.2801353487773115
CNN_RandomForest,house1.csv,"{'n_estimators': 69, 'max_depth': 18, 'min_samples_split': 4, 'min_samples_leaf': 1}",1351.752402,24.497883985387617,4.949533713935851,1.2793494491561792,17.897376951612063,18.62137934616268,0.151738857819432
TCN_RandomForest,house1.csv,"{'n_estimators': 58, 'max_depth': 16, 'min_samples_split': 8, 'min_samples_leaf': 4}",917.144928,21.48594962985409,4.635293909759563,1.3283578080417748,20.396055337316483,22.90910652539013,0.2560297785422871
DCNN_RandomForest,house1.csv,"{'n_estimators': 60, 'max_depth': 13, 'min_samples_split': 8, 'min_samples_leaf': 3}",865.116312,22.868827027290884,4.78213624097964,1.420905784779596,22.1906036581945,24.5097961921212,0.2081464119076375
WaveNet_RandomForest,house1.csv,"{'n_estimators': 98, 'max_depth': 16, 'min_samples_split': 5, 'min_samples_leaf': 3}",2304.983981,22.02984982744724,4.69359668350906,1.5863564694334826,25.004528589968285,29.972392170169737,0.2371967477744953
TFT_RandomForest,house1.csv,"{'n_estimators': 41, 'max_depth': 20, 'min_samples_split': 4, 'min_samples_leaf': 9}",952.282686,26.48059954918208,5.145930387129432,1.4271169045402918,21.18659421564565,21.914504841134093,0.0830855582215294
TST_RandomForest,house1.csv,"{'n_estimators': 66, 'max_depth': 14, 'min_samples_split': 3, 'min_samples_leaf': 6}",1297.069863,23.906634855651298,4.889441159851635,1.769460468502252,29.02408478501937,33.98858044330553,0.1722113877082399
LSTM,kagglehub_nicholasjhana,"{'lstm_units': 105, 'dropout_rate': 0.2227065166566139, 'num_lstm_layers': 1, 'learning_rate': 0.0005912711305008574}",322.02198,0.0,0.0,0.03,7.52,8.46,0.966
GRU,kagglehub_nicholasjhana,"{'gru_units': 69, 'dropout_rate': 0.25113438160817303, 'num_gru_layers': 2, 'learning_rate': 0.000979414084679974}",753.807229,0.0,0.0,0.05,13.97,15.36,0.8891
BLSTM,kagglehub_nicholasjhana,"{'lstm_units': 75, 'dropout_rate': 0.2008926749394311, 'num_lstm_layers': 1, 'learning_rate': 0.0006922342094237145}",219.636043,0.01,0.1,0.08,19.16,23.28,0.7688
BGRU,kagglehub_nicholasjhana,"{'gru_units': 86, 'dropout_rate': 0.26662648693163626, 'num_gru_layers': 1, 'learning_rate': 0.00040174006642944326}",370.570036,0.0,0.0,0.04,10.12,11.2,0.9425
CNN,kagglehub_nicholasjhana,"{'filters': 117, 'kernel_size': 2, 'dropout_rate': 0.32407550564984566, 'num_conv_layers': 1, 'optimizer': 'adam', 'l2_reg': 1.2585993773156115e-06}",55.642006,0.0,0.0,0.02,6.67,6.77,0.9692
TCN,kagglehub_nicholasjhana,"{'filters': 79, 'kernel_size': 4, 'dropout_rate': 0.18195670890185572, 'num_tcn_blocks': 3, 'dilation_base': 3, 'l2_reg': 1.419974786125761e-06, 'optimizer': 'adam'}",269.323999,0.0,0.0,0.03,7.15,7.11,0.9685
DCNN,kagglehub_nicholasjhana,"{'filters': 105, 'kernel_size': 2, 'dilation_rate': 1, 'dropout_rate': 0.21772922504726872, 'num_conv_layers': 1, 'optimizer': 'adam', 'l2_reg': 2.1009360222559635e-05}",65.153666,0.0,0.0,0.02,6.41,6.85,0.9724
WaveNet,kagglehub_nicholasjhana,"{'filters': 106, 'kernel_size': 4, 'dilation_rate': 3, 'num_wavenet_blocks': 1, 'dropout_rate': 0.30296035325415216, 'l2_reg': 2.7922735293893767e-06, 'optimizer': 'rmsprop'}",83.958467,0.0,0.0,0.02,4.74,5.04,0.9834
TCN,education,"{'filters': 127, 'kernel_size': 5, 'dropout_rate': 0.1268061008834998, 'num_tcn_blocks': 4, 'dilation_base': 2, 'l2_reg': 1.760661438138309e-05, 'optimizer': 'rmsprop'}",112.717396,141.66,11.9,8.07,5.05,5.27,0.9357
